Index,Month,Price,Production,Withdrawals,GlobalPrice,ExchangeRate,TempMax,TempAvg,Precipitation,Inflation
1,14-Sep,51.51,537770,1418420,0.147,44.08,28,27,456.59,3.9
2,14-Oct,51.46,1623075,1355836,0.1648,44.8,29,27,436.73,3.7
3,14-Nov,51.28,2277043,2156729,0.1588,44.95,29,28,265.32,3
4,14-Dec,51.65,2223994,1663150,0.1499,44.69,28,27,182,1.9
5,15-Jan,51.19,2259613,1714490,0.1506,44.6,28,27,82.83,1.5
6,15-Feb,51.25,3124172,1777931,0.1451,44.22,28,27,21.9,1.5
7,15-Mar,51.15,3939203,2154934,0.1284,44.45,30,28,5.8,1.5
8,15-Apr,51.95,2405134,1679034,0.1294,44.41,31,29,67.44,1.4
9,15-May,52.88,1711529,2031509,0.127,44.61,30,29,186.11,0.9
10,15-Jun,53.79,972463,1243740,0.1177,44.98,30,28,474.53,0.6
11,15-Jul,54.51,380167,1352259,0.1188,45.26,29,28,529.12,0.2
12,15-Aug,54.67,73471,1617970,0.1067,46.14,29,28,527.05,0
13,15-Sep,54.78,240152,1371919,0.1138,46.75,29,27,508.92,-0.4
14,15-Oct,54.62,795563,1407008,0.1414,46.36,29,28,250.1,-0.2
15,15-Nov,54.77,2017130,1924653,0.1489,47.01,30,28,96.9,0.3
16,15-Dec,54.74,2261678,1443939,0.15,47.23,29,28,112.46,0.7
17,16-Jan,55.1,3307249,1916483,0.1429,47.51,29,27,12,0.7
18,16-Feb,55.79,3103359,1714577,0.1331,47.64,29,27,71.78,0.5
19,16-Mar,56.21,2657010,1277129,0.1543,46.72,31,29,8.8,0.6
20,16-Apr,56.31,2249222,1252377,0.1502,46.28,31,29,89.93,0.7
21,16-May,56.35,1590325,1371864,0.1668,46.8,31,29,311.73,0.9
22,16-Jun,56.36,846991,1341446,0.1935,46.46,30,28,583.11,1.3
23,16-Jul,56.4,77950,1309190,0.1969,47.06,29,28,359.27,1.3
24,16-Aug,56.43,43950,1247722,0.2001,46.68,29,28,470.48,1.3
25,16-Sep,56.57,9950,895878,0.214,47.43,29,28,493.19,1.7
26,16-Oct,56.57,315233,1350843,0.2292,48.35,29,28,502.08,1.8
27,16-Nov,56.78,965039,1187954,0.2087,49.16,29,28,290.63,2.1
28,16-Dec,56.57,1731373,1308035,0.1883,49.82,29,28,214.33,2.2
29,17-Jan,56.63,2284862,1722779,0.2054,49.74,28,27,192.98,2.5
30,17-Feb,56.65,2491933,1733173,0.204,49.96,28,27,66.38,3.1
31,17-Mar,56.54,2921022,1545205,0.1806,50.28,29,27,194.46,3.1
32,17-Apr,55.52,3314421,2032763,0.1633,49.86,29,28,166.44,3.2
33,17-May,55.71,2158989,1792381,0.1569,49.86,30,29,340.92,2.9
34,17-Jun,55.22,1358612,1810192,0.1355,49.85,29,28,456.23,2.5
35,17-Jul,55.43,1260255,2062981,0.1412,50.64,29,28,481.29,2.4
36,17-Aug,55.27,440511,1837479,0.138,50.87,29,28,459.67,2.6
